parameter_name,module,category,current_value,value_shape,source_file,source_status,is_lut,is_placeholder_like,used_in_python,used_in_model_location,needs_vehicle_calibration,pso_candidate,priority,chinese_description
AirCpAtb,CHTD,general,1006.0,scalar,python_impl/hvac_sim/chtd/params.py,python_default,False,False,True,hvac_sim/chtd/thermal.py,False,False,P1,比热
CHTD_AirCpAtb_P,CHTD,scalar_param,1005,scalar,param.xlsx,excel_param,False,False,True,hvac_sim/chtd/thermal.py,False,False,P3,比热
CHTD_AmbT_X,CHTD,lut_axis,"[-20, -10, 0, 10, 20, 30, 40]","(7,)",param.xlsx,excel_param,True,False,True,hvac_sim/chtd/thermal.py,False,False,P3,环境温度断点轴
CHTD_CHTDSdlTi_P,CHTD,scalar_param,1,scalar,param.xlsx,excel_param,False,True,True,hvac_sim/chtd/thermal.py,True,False,P1,待工程师补充中文含义
CHTD_CabinFdAmbConvCo_M,CHTD,lut_map,"[10, 10, 10, 2, 2, 2, 2]","(7,)",param.xlsx,excel_param,True,False,True,hvac_sim/chtd/thermal.py,False,False,P1,对流换热系数
CHTD_CabinFdAmbRadCo_M,CHTD,lut_map,"[227, 227, 227, 227, 227, 227, 227]","(7,)",param.xlsx,excel_param,True,False,True,hvac_sim/chtd/thermal.py,False,False,P1,辐射换热系数
CHTD_CabinFdAreaAtb_P,CHTD,scalar_param,0.560000002,scalar,param.xlsx,excel_param,False,False,True,hvac_sim/chtd/thermal.py,False,False,P1,面积
CHTD_CabinFdCpAtb_P,CHTD,scalar_param,2379.915527,scalar,param.xlsx,excel_param,False,False,True,hvac_sim/chtd/thermal.py,False,False,P1,比热
CHTD_CabinFdMassAtb_P,CHTD,scalar_param,0.222300515,scalar,param.xlsx,excel_param,False,False,True,hvac_sim/chtd/thermal.py,False,False,P1,质量
CHTD_CabinFdSolarRadCo_M,CHTD,lut_map,"[5.6, 5.6, 5.6, 5.6, 5.6, 5.6, 5.6]","(7,)",param.xlsx,excel_param,True,False,True,hvac_sim/chtd/thermal.py,False,False,P1,太阳辐射吸收/增益系数
